,Language,Movie_ID,Review,Score
10,EN,-639976942,sexist hey c mon she looked really good standing around at the end there really really good violent sure stark idea of a solution to a violent situation was just smarter cooler weapons but they worked man they worked it not wrong when you can smart target only the jerks iffy science maybe tony stark is just smarter than isaac newton ever think of that huh i mean did isaac build body armor noooooooo i do not think so i totally had fun at this movie but it ridiculous that people are calling this a thinking man superhero film those are some seriously low standards ask yourself how good would it have been without mr downey seriously would have been the slightest bit interesting without him be honest this was not a good film it was just a fun film ,10
11,EN,-936112617,unforgiven is such an amazing film first of all let me just say i am still pretty young so you will probably laugh at what i am about to say but i consider unforgiven to be clint eastwood best movie it truly a masterpiece and when you add morgan freeman and gene hackman into the mix you know it gonna be a good film i look at unforgiven simply as this a man who has turned away from a life of violence and he is looking to raise his kids and remember his wife who has passed away when a gentleman known as the schofield kid shows up and offers munny eastwood a chance to split the reward of a violent act he decides to go but only if he can bring his best friend ned freeman well in a dramatic turn of events munny is forced to once again become the man from his past who he swore he would never become again my favorite scene of the movie is when munny goes to see ned and tells him about what they will be doing and why when eastwood rides up on that horse and freeman sees him i get goosebumps i totally recommend unforgiven if you have never seen it ## of ## ,10
12,EN,-936112617,i never got what is so great about this movie at least other eastwood westerns could entertain even pale rider a pale hybrid of shane and high plains drifter was better than this entertainment wise whatever message of anti violence in the film made no impression on me john wayne final film the shootist was better at that with the last scene in the saloon where ron howard throws the gun away and john wayne nods in agreement and dies certainly the director of that movie don siegel were he still alive at the time would have done a better job with unforgiven as he had as director of earlier eastwood films it was only eastwood aging that allowed him to make this particular kind of western and with that aging came a consistent decline of quality in his output not that any of his movies are all that great to begin with none of them inspire not even this message western it needed a much more involving story to relay its message ,2
13,EN,888363545,the movie ran as if it were a series of highlight clips from an actual film representation of the fourth harry potter novel details were thrown in haphazardly if for no other reason than to bring a feeling of recognition from readers if the viewer had not read the book but only seen the previous two movies s he would not have understood the movie the screenwriters created no semblance complicated plot but rather the rather single minded story of the three tasks in the tri wizard tournament all new characters were hardly introduced and remained quite one dimensional which is unfortunate even old favorites got the shaft in this one there was no time for more than two short scenes with either malfoy no magical lessons and dobby the house elf was completely absent crouch never disappeared but his body was found dead the cinematics in this case were atrocious harry appears in dumbledore chambers in the scene immediately after discovering crouch body but then proceeds to tell him about his scar hurting and dreams rather than crouch discovery there was no magical map no late night encounters with moody no discussion of snape and karkaroff relationship nor of dumbledore trusting snape seeing as this relationship will rise to be the single most prominent issue in the entire series i was very disappointed to find it was ignored in favor of large and ineffective theatrics such as a hedge maze without any traps only shifting walls and evil roots an extremely obnoxious modernized yule ball and a pointlessly drawn out dragon chase scene dumbledore lines and the directing of his acting made him look like an old bumbling fool rather than the clever most powerful wizard on the planet the only person of whom voldemort is afraid the writers decided to add crouch jr into harry dreams completely removed the second house elf and the invisibility cloak from the quidditch world cup and had the audacity to explain that crouch jr had been sent to azkaban but never explained his escape finally the movie ended with crouch jr being sent back to azkaban the minister of magic never showed up with dementors to kill crouch dumbledore never argued with him about the verity of harry claims and the potential for an amazing cliff hanger conclusion with dumbledore in all his might giving orders to hagrid and others as a general before the final battle was instead replaced by a horrible attempt at a eulogy combining direct quotations from the novel with poor scriptwriting to make dumbledore out to be a poor speaker as well as incompetent wizard i shudder to think how the next movie will have to deal with all of these plot gaps and how dumbledore can hope to maintain any semblance of respectability when he trusts snape and continues to avoid harry in the fifth movie much better would have been to stick with the original idea and make two movies this movie did not feel like it had any plot one did not become attached to the characters and spent the movie groaning or laughing at the contrived immaturity of it all some acting by harry and friends was good but it was overshadowed by a terrible attempt to fit everything and nothing into the movie ,1
14,EN,888363545,i am an avid member of harry potter club and we went to see it at midnight after waiting and waiting it starts how it should supposed too with harry dream but then we find him already at the weaselly instead of at home with dudley we get none of the scene with the ton tongue toffee also the caddish world cup was very weak we do not get to see any of the character set up for barty crouch and ludo bag man also since we never get to see the percy as crouch assistant also we do not get to see the team mascots and we hardly see any caddish also the wesley malory conflict was not there which sets up characterization for the death eater scene because the wesley do not sit in the ministers box also the whole house elf story line is left out which was really disappointing because it played such a main role in the book and we never get the whole barty crouch son conflict going on another thing was that they left out any mad eye snap tension which was odd also the draco harry conflict was not there the nd task was the best part of the movie the cinematography was amazing and its exactly like the book also there is no classes shown which is quite annoying since thats always on of my favorite parts another thing that upset me was there was no developing of the twins joke shop in the end they never even get the galleons also their were no ha grid spence like with those crab things none of that happened no riflers either the third task sucked it was a bunch of moving bushes no animals the voltmeter confrontation was amazingly good and so was after wards until moody takes harry but due to the lack of house elf it don t make very much sense that crouch son just appear also i forgot their is no spew which left hermine angry sometimes hard to figure it out the movie was good but they left out too much i would have rather had it be longer and less effects then what it was ,1
15,EN,888363545,i have never read nor have i seen any of the harry potter books or the previous movies but having heard all positive comments regarding them i went to see this movie half way through the movie i realized that because i did not read the book most of the movie did not make any sort of sense to me i also got the feeling that they cut out vast amounts of plot from the book so much that the movie just felt like a vague outline of an otherwise maybe enjoyable story scene development were terrible to the point that many events went unexplained maybe to the elementary school kids this is ok but as an educated college student it frustrated me to no ends to top off a movie with no plot continuity the ending made absolutely no attempt to salvage anything and ended on an extremely bland and lifeless note and yes the special effects were awesome but at some point you have to grow up and realize that flying dragons and cool effects do not make up for a badly written script maybe harry potter is just not for me but after the movie i have been told that none of the previous three movies were anywhere close to the inferior quality of this movie drawing the analogy of harry potter iv is to hp i as matrix ii is to matrix i and that i should be a more objective person and not judge the entire harry potter series based on this disappointing experience ,1
16,EN,888363545,it the fourth year for hogwarts harry daniel redcliff with hermonine emma watson and ron rupert grin just saw the quittich world cup final tornument until the event was crashed by evil death eaters sent by lord voldemort ralph fiennes whom trashes the place but as harry goes back to school an upcoming triwizard tournament is at hand soon for three schools those include hogwarts beauabatons and dumstrung but only students who are ## can join the tournament a magical object called the goblet of fire can choose who can be the youngest players at the tournament yet potter is chosen magically as he must do four important tasks before entering with the help of his friends including new teacher professor moody brendan gleeson with a fellow student cedric robert pattison even if they must battle voldermort another brilliant installment of the popular fantasy movie series this time directed by mike nevell four weddings and a funeral and the upcoming prince of persia co starring miranda richardson katie leung robbie coltrane jason issacs maggie smith warwick davis gary oldman and tom felton this is one of the more darker installments more than the last # ever were and grows more deeper with character the story is quite good as it stays a little true to the novel but with some things left out but oh well cannot please everyone there mystery with surprises galore including improved acting around from everyone as voldermort shows up once more looking more like himself and the theme to this movie is that it about growing up of how to face your own fears another winner ,10
17,EN,-1046617570,the intouchables begins with the disoriented action of an elderly white aristocrat being driven at thrilling pace through paris in a maserati by a strikingly tall omar sy as they devilishly evade arrest following a high speed police pursuit the narrative then returns in time to establish this relationship which cleverly exploits the unlikely friendship clich which would otherwise be presumed by the audience as tired before commencement the acting of both francis and omar combines to carry the realism and humanity upon which this magnificent film is grounded in the incredibly dynamic portrayal of a mutual sense of humour which acted as the primary catalyst between philippe and driss is testament to the level of artistry deserving of all awards they received for their performance ludovico einaudi has done a magnificent job at creating a score that not only sounds realistic itself but brings classical profundity and a very french grandeur in to contrast with the very down to earth themes of friendship and raw human nature cinematically flawless the urban landscape of driss hometown becomes equally visually appealing as the aristocratic parties and over decorated sweeping hallways of philippe mansion long lens portraiture on wet paris streets with dancing bokeh consistently delivers as cinematography explores both the romance and cold edginess of the city colour palate while the intouchables delivers in all sections of production and narrative value the story lacked legitimacy and depth when delving into the life of driss and at times felt slightly tokenistic and perhaps too evidently conceived from high budget production despite the lack of a grungy social representation that maybe i wrongly expected i vote this film as just short of absolute brilliance ,8
18,EN,-1046617570,this movie plays for shock effect as well as titters it is filled with rude remarks to women in fact driss seems to think that women are only good for one thing but it is passed off as funny in the movie well if i were that poor secretary in the movie i feel it is just about sexual harassment his attitudes toward fat women or ugly women are equally crude yes it puts more of a kick into the life of a quadriplegic but on a crude level for the most part and with adolescent behaviors driss laughing at the opera especially because it is in german is ruining an experience for the whole theater of people who want to enjoy it and there is driss driving the sports car through paris speeding weaving in and out of traffic making high speed turns it looks so professional from the driver seat but imagine if you were in that traffic with him it is incredibly dangerous forget about driss for the other people on the road i kept waiting for driss to wake up and find his better self but no this is not that movie there is no transformation no this is a guy movie and i mean that with all the derision used on chix flick ,3
19,EN,-1057031135,i recently saw minority report with several of my friends and each of us thought that the film was an excellent piece of cinematic genius steven spielberg has once more proven that he can make a film that will both leave you on the edge of your seat and make you think tom cruise has reclaimed his fame in my book and has propelled himself into my top ten actor list my favorite actor of all time begin brad pitt of course although i will not divulge the plot of the film for the sake of those poor souls who still have yet to see it i will say that i was greatly surprised and delighted by it and i think that the best idea in the entire film had to be those sweet guns that john anderton cruise had to spin around the ones that fired those balls of sound energy from the part in the lexus assembly line however thought those guns up was a genius surely minority report is an excellent film worth seeing time and time again and after seeing it you will constantly be saying murder in the voice of agatha one of the pre cogs and come up with scenarios that involve precrime s w a t teams busting through windows and such in conclusion i suggest that everyone go and see minority report but i must put a caution upon it it will make you think and for most americans thinking is a tough avenue to travel ,10
20,EN,-1057031135,so the third of the four must sees this summer movie season is out spider man attack of the clones this men in black ii and i saw it last night with all the buzz about this flick being steven speilberg best movie since raiders of the lost ark i felt as if i should have been standing in line on opening night i mean that pretty tall talk to be better than saving private ryan and schindler list truth be told i was almost willing to pay the # ## just to see the daredevil and red dragon trailers as for the main feature the verdict is good yes i said good well i will even go so far as to say pretty darn good but certainly not speilberg best since raiders just pretty darn good the premise is by now well known washington d c in the year #### has an experimental program in which murders are foreseen by mutated precognitives and potential perpetrators are arrested before their crime can be committed the constitutional arguments are also pretty well known by now but i do not have any intention of getting into a monologue about that as the issue is covered in the movie and it the movie i am here to discuss tom cruise policeman john anderton is the chief of the precrime department of the d c police and has a zeal for the program stemming from the disappearance of his # year old son in the days before the precrime program when a representative of the justice dept arrives to try to poke holes in the program premise before the it instituted nationally anderton is told by his boss played by max von sydow to accommodate him the next thing we know the precogs foresee anderton committing a murder in less then three days time and the chase is on cruise once again displays his mastery of the cold acting method as he did to perfection in jerry maguire and born on the fourth of july but for some strange reason abandoned in vanilla sky he relates his character anguish anxiety terror etc through subtle stares sparse dialogue and body language no ranting and raving no overly preachy stretches of dialogue just a look in the right place here and a sentence under the breath there and the audience gets the idea staring at and speaking in unison with home movie holograms and hobbling about his home strung out on inhaled illegal drugs anderton displays to us his personal misery then returns to dedicated professionalism at the station house the next day he does a fine job of carrying this movie colin farrell who will play bullseye in daredevil next year does a great job as the justice dept errand boy playing him with just the right amount of swarminess is that a word and intelligence von sydow performance is terrific as well and his role here continues the summer theme of taking senior movie veterans and making wonderful use of them cliff robertson in spider man christopher lee in attack of the clones the visuals here are terrific the vision of washington d c ## years from now is more believable than blade runner prediction for los angeles of #### the architecture and technology are not so omnipresent in the capitol that we do not see life as we might would lead it with the exception of the superhighways the technology depicted in the movie is a garnish to life at that time the bluish tint that spielberg gives the film casts an almost sterile hue to the world we see there such that blood when spilled is all the more garish to see i thought it was an interesting touch the sick sticks and retina scanning spider robot bloodhounds used by law enforcement of the day were absolutely creepy the personalized advertisements and greetings depicted here instantly made me think of the crap accumulating in my e mail box every day lasmoak give your lover a larger or lasmoak mortgage rates are now and this hitting me close to home gave a lot of other things in the movie credibility this movie shows us a world where fantasies can be lived out in a chamber is a lot closer than the holodecks of star trek okay the story it good yes i even said it was pretty good this film is not a big budget slam bang modern american action movie and with good reason it is not supposed to be it is big budget do not get me wrong and it all on the screen the visuals and the effects are terrific and they enhance not overpower the plot this movie is a lot more cerebral than i expected and that always a welcome surprise in today movies i confess that i was not prepared for the film noir pace of the movie as hearing all this comparison to raiders had me set for a trill a minute type spectacle well it ai not that but it good nonetheless yes the movie # hours and ## minutes but i promise you that it does not feel like it speilberg once again tells us a marvelous story this one being expanded from a short story by philip k dick the author behind the works inspiring blade runner and total recall the clues unfold the suspects sometimes surprise us and the confrontation at the end is not one easily predicted despite it having been foreseen by the precogs figure that one out for yourself this is one to see and while it ai not raiders it sure as heck beats scooby doo ,6
21,EN,-1057031135,entertaining and full of fascinating special effects but what does it leave you with in the end not much it goes down like a glass of water i have read a couple of dick novels and i could not say they were thrillers science fiction novels with thought provoking implications which made them interesting in this film this side is completely neglected drowned in an orgy of special effects ridley scott took one of dick novels and created a masterpiece tense visionary fascinating full of interesting multi faceted characters spielberg is just a classic hollywood movie lots of effects lots of adrenaline lots of action but characters are extremely dull and almost every turn of the plot can be easily anticipated spielberg is not very good at exploring characters and implications of a story and cruise is the right actor for a movie like this a good professional but also good for shallow characters only like other spielberg film this one is also sometimes intolerably moralistic definitely no masterpiece # ## ,6
22,EN,-1616571358,this film shows quite clearly what the writer of the story thought about apartheid an idea of a time he could have no clue about first of all neill blomkamp was born near the end of apartheid and was too young to have seen any of the unfairness then he also immigrated to canada at the age of ## meaning that he was from a strong financial family to top things off he attended vancouver university a feat that no upper middle class family could dream to achieve so i want to know what on earth made him an expert on apartheid and what on earth was he thinking bringing aliens into it all the film is basically an anc propaganda film with wikus playing the part of fw de klerk and christopher playing the role of nelson mandela two different species races uniting for the freedom of the majority it is a film about a smart alien race who endured space for years with technology that would destroy anything we can throw at them yet they were too stupid to use this tech for some reason was it because neill sees black south africans as stupid the main character wikus was a prawn hater turned prawn lover without reason or premise my review might not be the best worded but it because too many angry thoughts are going through my head this was horrible and a waste of money making it so high budget just to spread more false south african propaganda the only reason this film is not getting a # ## from me is because as a south african i feel the need to give higher rating for our films but this is with a very heavy heart,4
23,EN,-1616571358,pretty interesting that a candidate from a genre where i would normally not consider adding in my favourite list actually made it this movie impressed me with its originality and a different point of view i have not felt so much for the aliens this is probably the first film that eliminates tereotypes towards aliens although it does have uncertainties and loopholes here and there district # is one step closer towards a highly probably outcome if the situation actually takes place in real life and is likely to form a good base for future movies to come that i hope will create a new market intended for viewers who demand something alien but closer to reality than being imaginary ,7
24,EN,-54095325,as i feel the entire trilogy needs to be taken as a whole trying to review just one piece of it empire strikes back does not feel right imho episode v is the least likely of the trilogy that could stand on it own if it had to because of how this film ends however i can say that the action scenes are superb the acting much improved from episode # and the story just rips along at hyperspeed george lucas was the master of taking what little he had to work with and making it all seem much larger than life alas i am afraid he strayed from his roots while making the prequels enjoy ,8
25,EN,-54095325,a continuation of that masterpiece named star wars the general public went absolutely bonkers for the second chapter of what is now considered the greatest movie trilogy of all time the empire strikes back now re titled episode v is my personal third best of the saga while i can honestly say this is an absolute classic featuring some of the best moments twists and entertainment sequences of any movie it is not my favorite star wars film this may come as a shock to almost all star wars fans but i will be flat out in saying its a bit cheesier than you remember the way some of the scenes play out can be a bit too ## overdone and the way the star wars theme comes in while its what we all love takes a way some of this chapters more realism and darker tone on that note i will also add how excellently different this chapter tries to become from the original because of this most were disappointed at first viewing but there no denying how much it expanded the best fictional universe of all risks are part of making great films the scenes on dagobah featuring yoda are by far some of the best scenes of the entire trilogy and all its nods to the prequels are very fun to listen to however it sets up so many plot holes with the prequels that it truly makes you question if yoda was referring to a different time line a cooler and proper time line will the prequels will ever be rewritten or rebooted for the better extremely better or insanely better than what we sadly received empire strikes back still amazes me today in its practical achievements in terms of sets every thing feels so real in the action scenes unlike the unnatural cartoon atmosphere of the prequels not to mention that this film features the greatest film twist in all of cinema when darth vader finally reveals to luke skywalker i am your father this film amazed me since i first saw it and it will be amazing me for many years to come despite its partial over ration as an overall film itself ,10
26,EN,-54095325,empire strikes back is the prime example of how to do a movie sequel it furthers the story raises the stakes expands the characters and universe goes in daring new directions improves the technicals and fixes any of the flaws found in the previous film empire is a lot darker than its predecessor and this helps to heighten the drama and make the story more compelling as now we truly see the threat the empire can impose it becomes more though provoking as a philosophical side to the force is introduced new equally iconic and beloved characters are introduced characters like yoda lando and boba fett this is also the film that truly defined darth vader as one of the greatest villains of all time as not only is he made more intimidating but also more complex thanks largely to the infamous twist yet the film still manages to be just as fun as the original as we have great space battles and the greatest lightsaber duel of the entire saga yet what makes these action scenes so cowling and exciting is our emotional investment we have with the story and characters you will laugh cry feel tense and cheer once the end credits roll you will be emotionally drained ,10
