Language,Movie_ID,Review,Score
en,-1171836916,the title of this film had put me off seeing it also the fact that josh hartnett is the lead did not do it much favours i do not have much against the guy but he seems to make every character he plays turn into josh hartnett and that is why it seems that he brings out a movie every few years or so saying that once this film got going he had drawn me into his character rather well and i actually believed i was watching a guy with the weirdest name slevin and not josh hartnett the film is based around mistake identity slevin has come into town after losing his job flat and girlfriend all in one day he has come to new york to stay with his friend nick fisher such a good friend that when he arrives he is not there and still has not returned the following morning leaving slevin to make himself at home slevin then meets nick neighbour lindsey liu who instantly falls for slevin charm and i am sure manhood considering she gets a complete eyeful with him only wearing a bath towel moments after she leaves another knock at the door produces two heavies both of whom work for the boss freeman and have orders to bring in nick fisher despite not being fisher slevin has no way of proving otherwise and is dragged in front of the boss who is demanding the ninety six thousand that he fisher owes him or kill his arch nemesis the rabi kingsley son to wipe off his debt slevin leaves to ponder and almost instantly is dragged in front of the rabi who also believes he is nick fisher nick fisher happens to owe the rabi thirty three thousand and slevin has forty eight hours to pay up what to do next the narrative is very jumpy and the story twists and turns throughout and you find yourself guessing and then second guessing what is going to happen to this poor guy who just happened to be in the wrong place at the wrong time he must somehow come up with a plan to worm his way out as he is no killer and has no money to his name i wo not let you in on anymore as you wo not know which way this film is going and it will have you confused until the very end where every little seed of detail falls into place and i have to say it works bloody well the cast is full of a list stars and not one of them disappoints as well as the leads we are treated to a bit of bruce willis and stanley tucci both of whom are very good in their roles it is not only the plot that takes surprising turns it is also each character all of which seem to have a trick up their sleeve at some point and all the actors present their tricks with surprise and intrigue it is a thinker and if you are not really watching you will become confused it is not a crime thriller more of a dark comedy the first half is very quirky and the dialogue is sharp and snappy and some of the best pieces of dialogue i have heard in a while all delivered with great punch from each actor including hartnett it was a film that had me thinking but also had me laughing what more can you ask for one minor fault i have with it however is the lack of direction shown in a few very poor shots there are also a few jump cuts which make very little sense and there was not much point of them at times they make you notice several continuity problems and to be fair they need not have done it so for me the choice of shots and some of the editing does let it down but the acting story and dialogue do make up for that the first half is quirky showing some poor filmmaking and the second half becomes dark a complete change of tone and shows some great filmmaking especially in the editing it is like two different films and both were very good let it all sink in and laugh along and i tell you you wo not be disappointed # # tolli check out my blog www tolli movieworld blogspot com,8
en,-1171836916,i really felt i needed to write this comment because the one just before made me so angry if the prior user had paid a little more attention to this film he would have noticed how intricate and brilliant the plot was i do not want to give anything away of this film but i strongly recommend this film to anyone i would agree that you spend the first ## minutes in confusion because of its fast paced plot but by the end your sympathies for individual characters are all over the place all i can say is go and see it and give it your full attention then you would not be on this website saying it does not make sense enjoy the film ## ##,10
en,616211544,i find it hard to enjoy movies where the main characters are despicable in this movie there are way too many characters like that and the main character micky ward is kind of dull and tricky to relate to at all the characters also develop in a weird way as in a bad one throughout the movie and so does the story itself leaving us with an ending that in my opinion did not do justice to the few characters i liked what really killed the movie for me though was some of the boxing scenes especially the ko s are simply awkwardly enacted and look silly i am aware of the fact that it hard to make a scripted boxing fight look good but thats not an acceptable excuse for it looking bad ,6
en,616211544,the onion skin layers of human reality are brilliantly teased out in this drama from the competing strong females in micky life to the jealousy within families how people are driven to fight for survival and the simple actions that lead to success over the complexities that thwart and because there is so much good acting on view the female elements in micky life are all brilliantly portrayed apart from mark wahlberg and christian bale and the excellent melissa leo the drama is very compelling although this is about a part of a boxer career the boxing strands do not outweigh the drama outside the ring which is good because the boxing is what in my opinion ultimately lets the film down let me explain a little further without spoiling the plot there is considerable evidence within the film of micky good nature his loyalty and his strength of character but there is also a great deal of his weaknesses on show too there is an attempt to transfer this personality to the boxing ring and it does not for me work it is still a very watchable and enjoyable piece of drama but the intended feel good ending is out of keeping with the excellence that has gone before i award it seven out of ten for the superb acting but as a film it is not up there with the best ,7
en,-639976942,i went to go see iron man on my day off although being a huge fan of marvel comics in general i was not really a huge fan of iron man but the movie was worth a check out robert downy jr was brilliant as tony stark he actually reminded me of nic cages take on johnny blaze ghostrider the good thing about the movie was that it tried to be entertaining and not too political which at one point became my fear in the movie the special affects and the awesome action are what stop this movie from its storyline which although deals with morley the birth of a hero and a little a less on the movie rolling along side but because robert downy jr was just so hilarious as iron man i was just willing to let that go to sum it up iron man might not be the biggest or the best comic to big screen action movie it certainly lives up to it advertising and delivers and entertaining flick which is worth a look at and i certainly would not mind checking out a sequel to it iron man # # out of ## fully charged ,9
en,-639976942,i finally saw this movie last night on dvd despite doing exceptionally well at the box office i just never was that interested in seeing iron man and only watched it after a friend gave me the dvd in hindsight i am glad i saw it but think you should know at the onset that i am not a huge fan of superheros and comic books this means that the film did manage to win me over but also that i have no knowledge of the story nor do i have the devotion to it that a typical fan might have take this for what you will since there have been a bazillion reviews for this film already mine will be rather short and i wo not even bother discussing the plot others have already done this very well instead let first talk about what i liked the film was very slickly made and i really enjoyed the first # # of the film the iron man character and how he came to be was original also i was thrilled that gwynneth paltrow character was not like the one she played in sky captain uggh having a tiny bit more depth and not behaving as stupidly robert downey was very good as a world weary jerk who grows as a result of his near death what i did not particularly like was jeff bridge character it just was not interesting and bridges seemed awfully one dimensional additionally while i am sure fans loved the final portion of the film it was a let down for me because it was all action the previous # # of the film was bolstered by good writing and dialog but the end was all special effects still i must admit that they were very very good special effects final verdict a very good comic book film but not quite as well made or as interesting as the dark knight fyi the character pepper potts appears to be a homage to the ladies played by the monty python actors in their series series regular graham chapman coined the term pepperpot to refer to these dowdy and severely unattractive middle aged ladies update # #### i just re saw this film and the second time i was even more impressed with it robert downey great performance the terrific soundtrack and the wonderful plot it simply an amazing film ,6
en,888363545,the hp movies get better every time a new installment comes out the cast is great the special effects are perfect and the story rocks what else could you want in a movie first of all daniel radcliffe fits the harry potter part perfectly he has the same whatever i just want to get through the school year kind of attitude just like in the books this movie was also the perfect length every scene was well done and i think the director did a fantastic job also many teenagers along the female variety found some of the guys in here very attractive including myself but that not really relevant anyway i think this movie was so well done and although the next film is not expected to come out for a while i really am looking forward to it ,10
en,288564766,how surprised should i be that it turned out as it did just another vehicle for disseminating propaganda so many movies are not for storytelling or entertainment but are subtle vehicles for disseminating propaganda dangerous propaganda which has yielded special victim groups tremendous power and influence at the cost of many lives and most importantly the truth watch this film for surely in the future it will be studied by our survivors just as we study joeseph gobbels work i have to fill this with ## lines but what can i write when the stench of this latest work of excrement fills my senses so here i write a few more lines as filler ,1
en,288564766,this rough story just had nothing to it first in walked denzel with an ego so big i was surprised his head fitted through the door he mostly played the part of a hostage negotiator even though he was not a hostage negotiator if that makes any sense not far behind was jodie foster who looked seriously wasted like she had a big time drug problem or was totally anorexic or whatever it is that the hollywood elite get up to she was probably brought in to help break up the story into bite sized chunks or scene switching as it is known but her role was so flimsy you could have cut her out of the story all together and it would have made no difference the story itself revolved around a gang of bank robbers who raided a bank but stole nothing apparently this was done to draw the police attention to a safety deposit box which held evidence linking the bank boss to nazi dealings during the second world war what the exact nature of the dealings were was never revealed the bank robbers must have been very righteous and honourable people risking a lifetime of imprisonment simply to get the truth out why they could not have gone to the police got a search warrant and disclosed everything is beyond me instead they beat humiliated and stripped the hostages who amounted to nothing more than innocent civilians and probably traumatised them for life it is difficult to build sympathy with the public no matter how righteous your cause by degrading helpless captives like this i fully agree that nazi collaborators should be exposed and punished but victimising the most vulnerable people in our society namely the old and children yes a young child was also in there is difficult to swallow it did not seem to fit in with the honourable intent of the bank robbers to tie drag and traumatise these people overall not a bad movie could have been better with more thought ,5
en,288564766,i think william shatner should have taken the lead role in this film because denzel is way past his prime mr shatner should write and star in star trek ## with denzel denzel could play bivouac another vulcan tuvok uncle and old bill shatty could play himself again i will go on to say that denzel was very superb when i saw him speak to mr shatner once when i saw them together i asked mr shatner if he would sign his autograph to my girlfriend and write beam me up scottie but he said he could not do that and then i was handled rather roughly until i was outside again ,6
en,-1057031135,watchable sci fi action film but nothing like as deep as it would at first appear the story is overly contrived the flaws in the central premise never fully dealt with and the ending far too simplistic to make this an overall satisfying experience the ostensibly complex conundrum at the heart of this film whether preventing a predicted event actually negates the concept of fate upon which precognition rests is conveniently swept aside in favour of mindless action and the futuristic setting merely an excuse for spielberg to play with some expensive cgi toys the plot holes become more gaping with each viewing see it once and enjoy the visuals but do not think about it too hard ,8
en,-1057031135,the problems with this film are what come up the most the only reason john anderton ran into crow was because of what he saw then why would the pre cog have a real vision if the only reason he would kill crow was if he saw the vision does that make sense i enjoyed the slant on anderton son and the emotion tom cruise put into the character do we ever have an action hero who is also a dope head this is one of tom cruise best performances the movie should have been darker during the action sequences when colin farrell character is chasing cruise through the apartment building and auto production plant i just found the music to be happy and spielberg was trying to be comical the movie reaches it climax about ## minutes before it ends i would have preferred if the movie ended with anderton actually finding out what happened to his son the ending comes on to fast and sets a pace that the rest of the movie had not set # ## good,9
en,-1057031135,minority report may just rank as one of steven spielberg best pieces of work it long alright but at ### minutes long it is fulfilled by great special effects and non stop thrills it also features tom cruise in one of his better roles he has played the action hero in mission impossible before but in a film such as this it much more complicated what makes minority report so intriguing is it complex plot featuring the main character john anderton tom cruise who is foreseen to commit a murder and he is racing against time to either prove his innocence or change the future a concept so complex it leaves you wondering what will really happen in the first place such an intelligently written conflict for a plot done with mere complexity that keeps us on the edge of our seats wondering what anderton will do until a conclusion is finally reached it is a plot dependent on the very choices he makes that decide the fate of the entire story as other characters coherently become involved by their desires and motives in the meantime everything slowly unveils itself resulting in many surprises and twists to come resulting in a great amount of suspense next to schindler list it may just be spielberg darkest film but also one of his more entertaining more importantly it is the supreme bundle of a science fiction mystery suspense action adventure and a thriller steven spielberg has certainly made a name for himself in the world of mystery suspense thrillers as justified by the many futuristic concepts depicted in minority report rarely if ever does it not compel or even captivate # out of ## ,9
en,-1057031135,steven spielberg has made numerous memorable movies in his illustrious career minority report is one of his finest the complex plot might confuse the average viewer but that does not take away the magnificence of this movie in #### an organization called precrime tries to prevent future crimes from taking place with the help of precogs does it sound complicated well it is however the central theme of this movie is how tom cruise character deals with the world on knowing that his son is probably dead there are a number of futuristic devices in this film which have been replicated in real life and many of them may become a reality in the coming years multi touch retina sensors spider cams are a few of the many devices that are presented in this movie this thrilling movie goes by in a breeze and for that the credit must go to the director for giving the story a nice pace the performances are spot on and even the secondary characters with small roles perform brilliantly i would say that this movie must be seen ,9
en,-1616571358,this actually is the sci fi treat for this decade to close in a heroic way neill blomkamp has given us a masterpiece and after all this hype before the opening of this film who could thought it would meet such high standards the actors have given their best shot the cgi team produced results never before seen sound editing and cinematography were top notch soundtrack photography etc all excellent the plot was a perfect blend of drama comedy social messages agony and plenty of really good action the director after his previous exceptional work made an instant classic cult film to be talked about for years to come kudos to peter jackson for trusting him this is a film you will enjoy if you like good cinema but not if you are expecting g i joe and the rise of the cobra or terminator salvation people are talking about holes in the plot and shaky cameras about clich s and predictable scenario about copycats and absurdity trust me if you enjoy good cinema you will enjoy district # watched it twice and it only got better ,9
en,-1616571358,as always let start with the basics pros great premise awesome special effects underlying commentary about the highs low of human nature fantastic immersion in the atmosphere the alien weapons were awesome they had a gravity guy even cons some weird parts some of the improvised dialog in combo with the thick accents was hard to follow at times this movie by far was the best sci fi movie i have seen in a long time it also shows up every other big movie this year that had ridiculous budgets and we are mediocre at best district # reminds us that it still the acting directing and writing that really make a good movie the main issue in my opinion that could drive some people away from the movie is the gross or really weird scenes here and there for example the nigerians eating the aliens to try and get their power however if those things do not really irk you then it all good i thought the best attribute of the movie was how it immersed me in the atmosphere or feel of district # the grime the smell the violence and all the other hardships that were forced upon the prawns i will say the violence was brutal but was not glorified or overdone like other movies the acting in d# was fantastic considering how much experience the cast had in fact the absence of a list stars added to the realism of the footage given everyone looked like a normal every day person in conclusion if you like pure sci fi then you should like this movie the aliens looked phenomenal the premise is very original the weapons were sick and the final ## ## min climax was spectacular ax,9
en,-1616571358,i have just watched avatar yesterday and it completely blew my mind the visuals were stunning and i thought it was one of the greatest movies to have been ever made i am still in the avatar euphoria yet yet yet this movie re composed my mind only to blow it away yet again the only difference is that it blew it away more absolutely than avatar did if you are not into the alien science fiction creature documentary stuff the off chance is that you might not like it i say off chance because so far there is only two people who i think will not care for it much my father and my sister but all the others the movie will make converts of this is how direction should be this is how pacing should be this is how humor should be woven into drama this is how the sound track should be this is science fiction at its best yet come to think of it i have been visiting imdb even since it came on and this movie actually made me register and write a review by zarquon this is the proverbial it ,10
en,-1616571358,a great film and pretty moving much better than any scifi flick i have seen since dark city i loved the fact it was set in south africa and it was a good setting for a film well it turned out well anyways i cant see why it has been a hit its well worth spending your money on a ticket to see it with the family this film delivers on all levels unless your a sad nit picker like some people are i cant imagine why anyone commenting on this film would give it a bad review its much better than any other scifi flick i have seen for a hell of a long time and thats no easy thing to achieve in my eyes im sure that this film will be with us for many years to come it will do excellent on dvd sales i can guarantee it i just hope that the second film offers as much as this one does well worth watching ,10
en,-1616571358,much hype too much hype has gone before and unfortunately this film fails to deliver yes the cgi is quite good really with wiki wiki wild wild weta and pj involved what do you expect yes the action scenes are sometimes compelling but sadly there is also # hours of footage which feels more like # because let face it the story is just not very interesting oooooh let have a clever commentary on racism let use aliens instead of an actual suppressed group of people because that will make it more original it will be ground breaking sci fi no wait this all sounds strangely familiar worst of all although this movie appears to be trying to make a statement about racism and most reviews actually buy into this it manages to include its very own racist overtones as blomkamp goes out of his way to show us again and again nigerians are either gangsters or hookers and no matter which of these two professions they may be pursuing they are universally uneducated and superstitious believing that by consuming their enemies they can absorb their power even the supposed hero is racist although apparently he is more strongly biased against aliens than nigerians and blatantly so at the start of the movie sadly he never grows to overcomes his views only finally working with some aliens because of self interest rather than any sort of recognition that his prejudices might have been founded on ignorance and closed mindedness all in all this movie was not utterly awful but it was rather boring and misguided i wish i would bought myself a prawn cocktail instead and i do not even like prawns ,4
en,-1616571358,that is the best word for my experience with this film disappointing i wanted to like this film i really did i thought i would all of the hype around it seemed for the first time in a while as though it was worth it as though it was deserved i am sad to say i was wrong what i thought would be a brilliantly conceived piece of cinema epic in scope and just reveling in gritty realism turned out to be just another summer action flick that was more concerned with its cgi than the issues it raised the premise from the trailers seemed interesting the aliens had technology we wanted but could not operate and we were somehow keeping this advanced race prisoner on our own planet causing god knows how many issues for both ourselves and them all for the sake of a military advantage and for all i know all of that could still have been taking place in this world only problem is we never saw it happening there were only a few times throughout the film that the story seemed to intersect this premise and none of them were at all satisfying the film starts as a mock documentary giving us the necessary information so we can grasp what we will be seeing for the next hour and a half this i will concede was brilliant i thoroughly enjoyed the first half hour of this film the gritty realism was there it seemed as though it would be raising some serious issues and it had a delightfully macabre atmosphere and feel to it then for no reason or warning at all we are thrust into a cinematic film rather than a documentary it was an odd unexpected and shocking change of pace i think it would have worked very well if they would kept it there but instead they insist on interweaving their documentary feel between the cinematic portions i believe this was done in an attempt to give different feels to the two stories all it accomplished though was to constantly force you to watch the film differently every ten minutes and when the two stories finally became one the documentary feel did not go away making the character study portion of this film hard to stomach there no point in studying a character we do not care about and feel detached from thanks to the documentary feel established earlier which brings me to another flaw of this film that made it difficult to watch it never really decided what it was about in the beginning it was about an alien race that had landed here ## years ago and had not left this portion was most enjoyable as it gave us a good window into this alternate world and showed the fallout of this tremendous event then the film became a sort of horror thriller as it became more focused on the story the mysterious substance and the mortifying transformations it was causing in wilkus van de merwe this was still interesting but definitely not as much as the feel before and wilkus mutating into a prawn seemed like it was a story element straight out of paul w s anderson resident evil films from here the story finally thought it might become a little more epic wilkus and christopher neither of which i really cared for decided they would try to break into this top secret lab steal the fuel back and make a break for the mother ship betrayals and surprises were abound but i did not care about any of them mostly because i could not care about the characters feeling too detached from them after the documentary style introduction to them during this portion the film was half action flick half character study of christopher both seemed out of place but the second one especially once again what is the point of studying a character we have no stake in after that the film just descended into action it actually managed to maintain its cinematic feel for about forty five minutes while all this was going on then suddenly we are back to people being interviewed and it closed as some kind of feel good documentary about christopher possible return and the unknown fate of wilkus all the while managing to avoid actually doing anything about all of the issues it raised so instead of an intellectual gritty and twisted sci fi experience we were given some kind of half thrown together action movie that pretended to be smarter than it was in essence the film could have been far more cerebral than it was the fact that it was not was the biggest disappointment of all for me all in all i give the film a # # it had some good moments but the story was bogged down by the relentless use of documentary inserts sans the forty five minutes previously stated that were a good excuse to slip in any information we would need to understand the upcoming scene but ultimately made the film feel too detached for the less than epic story it was telling ,6
en,-1616571358,i watched district # last night in a brimming auditorium in london on the second night of its general release and to be totally honest the audience reaction was mixed i speculate about half the attendees went home satisfied these would have been science fiction fans mainly but anyone who has a taste for the alternative will certainly have got a kick out of it i categorize myself as the latter in my humble opinion district # is a solid attempt to create an original sci fi film and it deserves credit for approaching a somewhat stale alien invasion genre and inoculating it with some innovative ideas district # is not without its faults however and there are more than a few in my opinion the film falls down in a few key areas # narrative direction this is not consistent throughout the film i e the style of storytelling alters as the film progresses but this is not done in a smooth or convincing manner and does more to confound than impress to elucidate on one annoyance part of the film is shot with shoddy hand held cameras and then suddenly it switches to standard camera type # plot laden with holes to be honest ok so i do not expect any sci fi film to be backed up by rigorous science or even governed by moderate rationality but there is only so much you can expect the average audience member to buy there are several inexplicable plot holes in the film for instance the earth bound aliens appear to harbour highly advanced weaponry which for some bizarre reason they choose not utilise instead they accept their impoverished circumstances and choose to trade their over sized weaponry for cat food meanwhile the alien mother ship has been hovering above johannesburg for ## years languishing in wait seemingly unperturbed by either alien or human intervention this is a ridiculous scenario if you stop and think about it there would be a global response to alien invasion and there would no doubt be hordes of scientists up there investigating it # acting the protagonist vikus is highly entertaining and i am not criticizing his performance at all by mentioning the acting the rest of the cast were quite woeful sometimes i agree that its good to get fresh faces onto the big screen but in all honesty i think a lot of the actors in this film were promoted above their station this probably has something to do with trying to use a ### south african cast apart from the distended asides this film really is worth watching if you fancy a turn away from the polished but predictable and usually tame hollywood efforts at science fiction # ##,7
en,-54095325,i have seen star wars probably ## ## times and empire about ## but had never watched them back to back on consecutive nights until the new dvd versions came out put me in the camp of those who feel the added digital effects are a desecration i want to see the movies the way they were released originally i simply tried to ignore the alterations and was successful for the most part it certainly is nice to see these films in widescreen with outstanding picture and sound quality i felt the same way after seeing star wars again that i have since #### it is the greatest achievement in the history of movies to my surprise however when i watched empire the next night i was disappointed it is a very well directed well polished movie but to my mind it lacks the visual graphic brilliance that helped make the original so extraordinary star wars and american graffiti the two masterpieces george lucas directed in his youth both have an incredible unmatched look lucas did not move the camera much but he made up for it with the amazing jukebox like style of what he photographed with it empire lacks that quality spoiilers ahead star wars was really a perfect story that ended with what is still the greatest action sequence ever the death star battle followed by the ultimate coda the throne room scene watching empire right afterward was a little jarring suddenly without warning we learn that despite destroying the ultimate power in the universe the rebels have gained no advantage and they are on the run stuck hiding on a miserable little ice planet with a single tiny base would not more fighters more systems have joined the alliance after the destruction of the death star how did the rebels go from ultimate victory to being nearly crushed so quickly another major shock to me and probably the biggest weakness of empire was the change in the relationships of the three main characters in star wars from the moment luke first saw leia he was in love with her who is she she beautiful so much so that he stood dumbstruck when he first entered her cell on the death star there were strong hints that leia reciprocated she kissed him half on the cheek half on the lips twice looked very nervous when he seemed dead in the final battle and certainly luke was in puppy love with her the entire film now all of a sudden in empire luke and leia are on screen together for about three minutes total and there is no hint of luke love for her without explanation now it all about han and leia who despite no hint of attraction in star wars are suddenly are madly in love i suspect there are three main reasons for this # unlike fisher and hamill harrison ford was not signed up for sequels he only agreed to come back on condition that his character was developed from the wisecracking cynical sidekick into the wisecracking cynical romantic hero lead this gave his career a great boost but in my opinion totally undercut the character of luke skywalker who should have been the emotional focus of the movie as he was in star wars # mark hamill disfiguring car accident in december #### after completion of principal photography on star wars made it easier to turn his character into a monk like asexual person the process that started in empire and finished in jedi in star wars hamill was a handsome though callow screen presence but after the accident despite plastic surgery he just did not look good it hampered his performance and basically destroyed his capacity to play a romantic lead # to the extent that lucas planned to have leia be luke sister a terrible decision that i suspect was not made until after the release of empire they obviously could not be romantically involved however their incestuous love for each other is all over star wars i think the decision to make leia and luke siblings only came after the radical character revisions in empire eliminated any romantic feelings between luke and leia and turned luke into a boring monk indeed empire greatest weakness is that it too heavy the dark side of the force was only briefly discussed in star wars but here it played up to an extent that the concept just cannot support yoda says that fear anger hatred lead to the dark side but how exactly is a human being supposed to avoid these emotions the force was fleshed out just the right amount i e not too much in star wars but here it is revealed not to make a whole lot of sense there way too much good vs evil that no longer presented in a fun style in empire it taken too seriously which reminds me of the lord of the rings movies not a good thing ,10
